									landmark	id	x	y	id	x	y
0	0	0	0	1	10	0	0	0	2	7	-2.766927	5.470503	8	-1.101984	9.175472
0.2	0.001687	0	0.004383	9	13	0	0	0	2	7	-2.784157	5.304681	8	-0.965029	9.169872
0.6	0.003375	0.000005	0.007012	16	17	0	0	0	2	7	-2.996965	5.442127	8	-1.425652	9.077917
0.8	0.001074	-0.000011	0.018408	15	3	0	0	0	2	7	-3.181936	5.173446	8	-1.225221	9.412726
1	0.000767	-0.000017	0.016655	13	3	0	0	0	2	7	-3.057951	5.21138	8	-0.910526	9.093583
1.4	0.001381	-0.000007	0.021914	18	2	0	0	0	2	7	-3.249381	5.201039	8	-0.833576	9.653428
1.6	0.000154	-0.000033	0.041198	25	-13	0	0	0	2	7	-3.162503	4.811669	8	-1.423094	9.456871
1.8	-0.000153	-0.000046	0.035939	21	-11	0	0	0	2	7	-3.008856	5.199323	8	-0.919227	9.33388
2	-0.000459	-0.000057	0.023667	13	-5	0	0	0	2	7	-2.843507	5.378995	8	-0.933104	9.139418
2.2	0.000461	-0.000035	0.007889	7	7	0.000004	0	-0.009524	2	7	-2.895574	5.318073	8	-1.194315	9.587542
2.4	-0.002454	-0.000058	-0.008766	-12	7	0.000017	0	-0.039098	2	7	-2.353479	5.064446	8	-1.307694	9.4674
2.6	0.000921	-0.000088	-0.073631	-38	55	0.000039	-0.000002	-0.088721	2	7	-3.023221	5.314206	8	-0.698988	9.239553
2.8	-0.001833	0.000115	-0.124472	-76	75	0.000069	-0.000005	-0.158395	2	7	-3.393836	5.697785	8	-0.56637	9.435981
3	-0.002442	0.000191	-0.208621	-126	121	0.000107	-0.000013	-0.248119	2	7	-2.49218	5.522241	8	-0.930023	9.347363
3.2	-0.000641	-0.00019	-0.306796	-176	183	0.000149	-0.000026	-0.348369	2	7	-3.060316	5.362336	8	-0.821277	9.545835
3.4	-0.001372	0.000042	-0.390069	-226	228	0.000189	-0.000043	-0.448619	2	7	-2.309597	5.311787	8	-0.246192	9.291183
3.6	0.00331	-0.001883	-0.503146	-274	309	0.000228	-0.000064	-0.548869	2	7	-2.143131	5.407378	8	-0.510495	9.331915
3.8	0.007745	-0.004324	-0.621481	-325	393	0.000265	-0.000089	-0.649119	2	7	-2.302352	5.066214	8	0.126257	9.376922
4	0.009366	-0.005485	-0.725792	-378	459	0.000301	-0.00012	-0.749369	2	7	-2.197908	4.950861	8	-0.257197	9.49696
4.2	0.010169	-0.006198	-0.82835	-433	521	0.00034	-0.00016	-0.849619	2	7	-1.912495	5.365031	8	-0.089362	9.465101
4.4	0.010791	-0.006876	-0.952821	-501	595	0.000396	-0.000231	-0.94987	2	7	-1.725113	4.843686	8	-0.046624	8.986095
4.6	0.009281	-0.00475	-1.034341	-556	633	0.000502	-0.000397	-1.050122	2	7	-2.067439	4.969986	8	0.076287	9.190764
4.8	0.007713	-0.002113	-1.116738	-613	670	0.000733	-0.000851	-1.150378	2	7	-2.025585	5.488092	8	0.087213	9.294719
5	0.009664	-0.006111	-1.254358	-677	763	0.001217	-0.002105	-1.250647	2	7	-1.646801	5.462439	8	0.11366	9.708519
5.2	0.00995	-0.006986	-1.347273	-727	819	0.002096	-0.00531	-1.350944	2	7	-1.731405	5.195724	8	-0.125502	9.336475
5.4	0.012126	-0.016559	-1.468239	-764	920	0.003333	-0.012688	-1.4513	2	7	-1.493173	5.143635	8	0.439812	9.334618
5.6	0.012896	-0.024036	-1.525215	-772	977	0.004293	-0.027705	-1.551764	2	7	-1.226704	5.513314	8	0.729041	9.228562
5.8	0.014259	-0.053918	-1.633032	-736	1136	0.003299	-0.054439	-1.652394	2	7	-1.301215	5.361161	8	0.557757	9.514223
6	0.011358	-0.100461	-1.731207	-640	1344	-0.002606	-0.097634	-1.753265	2	7	-1.332654	5.286806	8	0.713341	9.133016
6.2	0.000823	-0.165575	-1.850419	-493	1627	-0.017465	-0.159513	-1.854422	2	7	-0.992561	5.309214	8	0.812935	9.172365
6.4	-0.022335	-0.246225	-1.947717	-275	1956	-0.045083	-0.238504	-1.955864	2	7	-1.064503	5.101289	8	1.03167	9.499576
6.6	-0.057848	-0.335939	-2.023978	-4	2314	-0.086773	-0.328505	-2.05116	2	7	-1.112818	5.088816	8	0.961351	9.213935
6.8	-0.104728	-0.432203	-2.144943	276	2732	-0.136935	-0.415311	-2.135408	2	7	-0.991105	5.11667	8	1.198587	9.263118
7	-0.157881	-0.514378	-2.206303	560	3086	-0.193586	-0.498031	-2.204489	2	7	-1.008741	4.678854	8	1.199165	9.184467
7.2	-0.215246	-0.592152	-2.232599	860	3416	-0.255282	-0.577063	-2.260672	2	7	-0.635473	5.201761	8	1.147175	8.93637
7.4	-0.278878	-0.673836	-2.284317	1168	3783	-0.320913	-0.652857	-2.306707	2	7	-0.995073	4.947711	8	1.249889	8.878406
7.6	-0.345041	-0.750266	-2.320256	1477	4133	-0.389656	-0.72584	-2.344772	2	7	-0.801448	5.086165	8	1.550696	9.062514
7.8	-0.414639	-0.825055	-2.348305	1794	4482	-0.460892	-0.79639	-2.376489	2	7	-0.752866	4.582778	8	1.365956	8.989489
8	-0.487598	-0.899175	-2.388627	2110	4844	-0.534146	-0.864841	-2.403091	2	7	-0.676672	4.901128	8	1.33191	9.26323
8.2	-0.561135	-0.96809	-2.412294	2425	5186	-0.60905	-0.931481	-2.425534	2	7	-0.423039	4.590514	8	1.619656	8.863819
8.4	-0.638685	-1.037393	-2.438591	2749	5540	-0.685317	-0.996556	-2.444579	2	7	-0.821114	4.536918	8	1.44478	9.011129
8.6	-0.714051	-1.101261	-2.457876	3060	5873	-0.762716	-1.060277	-2.460826	2	7	-0.499245	4.58836	8	1.858434	8.652612
8.8	-0.78683	-1.160563	-2.445604	3373	6172	-0.841066	-1.122825	-2.474764	2	7	-0.4718	4.309072	8	2.001281	8.552128
9	-0.863113	-1.224294	-2.454369	3692	6501	-0.92022	-1.184352	-2.48679	2	7	-0.711637	4.426865	8	1.732432	9.277047
9.2	-0.94173	-1.288813	-2.478036	4010	6846	-1.000058	-1.244987	-2.497237	2	7	-0.798953	4.053532	8	1.747473	8.771068
9.4	-1.023302	-1.352588	-2.50521	4332	7199	-1.080486	-1.304838	-2.506373	2	7	-0.965849	4.295597	8	1.757233	9.329582
9.6	-1.102136	-1.410841	-2.495568	4657	7513	-1.161424	-1.363995	-2.514426	2	7	-0.876507	4.29647	8	1.884945	9.331804
9.8	-1.182242	-1.471237	-2.499074	4982	7842	-1.242809	-1.422536	-2.521599	2	7	-0.765482	4.158033	8	1.704871	9.140432
10	-1.260717	-1.529973	-2.506963	5297	8166	-1.324591	-1.48052	-2.528068	2	7	-0.90609	3.937278	8	1.819748	8.989243
10.2	-1.341629	-1.589543	-2.509593	5623	8495	-1.406731	-1.537996	-2.533996	2	7	-0.569014	4.022831	8	1.32327	9.16063
10.4	-1.416757	-1.64455	-2.508716	5927	8798	-1.485156	-1.592211	-2.539481	2	7	-0.949256	3.711576	8	1.881748	8.992652
10.6	-1.481941	-1.692365	-2.483296	6205	9047	-1.555011	-1.640252	-2.535274	2	7	-0.277778	3.803966	8	1.687858	8.985409
10.8	-1.531449	-1.730653	-2.448233	6429	9231	-1.607826	-1.67766	-2.510732	2	7	-1.039756	3.280882	8	1.603502	9.468545
11	-1.566371	-1.759673	-2.404405	6602	9354	-1.643381	-1.704686	-2.465853	2	7	-0.617795	3.750313	8	1.523764	8.501215
11.2	-1.586246	-1.777718	-2.352688	6719	9412	-1.662161	-1.720576	-2.400639	2	7	-1.22748	3.52375	8	1.254665	9.183383
11.4	-1.590785	-1.78229	-2.275551	6784	9389	-1.665989	-1.724215	-2.3151	2	7	-1.136752	3.705135	8	1.422396	8.944059
11.6	-1.594264	-1.78638	-2.20455	6842	9366	-1.665979	-1.724202	-2.215376	2	7	-1.123789	3.855417	8	1.22431	9.030682
11.8	-1.595081	-1.787492	-2.116017	6897	9320	-1.666006	-1.724243	-2.115128	2	7	-1.309683	3.378436	8	1.117479	8.695568
12.2	-1.59354	-1.784843	-1.874086	7025	9172	-1.666435	-1.725213	-1.914644	2	7	-1.741895	3.418999	8	1.204573	9.024723
12.4	-1.594411	-1.787624	-1.771529	7093	9123	-1.667075	-1.727345	-1.814426	2	7	-1.515287	3.913053	8	1.202867	8.843104
12.6	-1.595512	-1.793036	-1.67686	7165	9087	-1.668093	-1.73263	-1.714254	2	7	-2.122051	3.596388	8	0.991955	8.963199
13	-1.595295	-1.81693	-1.427917	7385	9023	-1.668837	-1.765796	-1.514228	2	7	-1.925618	3.142186	8	0.781355	9.367353
13.4	-1.57546	-1.909339	-1.234197	7804	9221	-1.653148	-1.856848	-1.315048	2	7	-2.204463	3.995025	8	0.156972	8.741368
13.6	-1.551395	-1.978114	-1.101836	8117	9383	-1.630049	-1.92958	-1.215887	2	7	-2.088816	3.680805	8	0.506373	8.428779
13.8	-1.509242	-2.061311	-0.973859	8494	9614	-1.5924	-2.01723	-1.116997	2	7	-2.578059	3.84354	8	0.423239	9.217215
14	-1.451039	-2.146948	-0.897598	8875	9908	-1.54436	-2.105137	-1.02729	2	7	-2.622219	3.771185	8	0.362627	8.561158
14.2	-1.389732	-2.223824	-0.793287	9255	10169	-1.489274	-2.188829	-0.952966	2	7	-2.547245	4.340671	8	0.476161	8.508403
14.4	-1.321615	-2.293024	-0.715273	9616	10441	-1.428702	-2.268659	-0.892801	2	7	-2.714813	4.039193	8	0.124043	8.338056
14.6	-1.247039	-2.357812	-0.664433	9967	10734	-1.363885	-2.345095	-0.843866	2	7	-2.665891	4.195627	8	0.060013	8.19607
14.8	-1.170111	-2.418064	-0.596938	10324	11014	-1.29574	-2.418589	-0.803675	2	7	-2.559555	4.448489	8	-0.049349	8.491285
15	-1.088154	-2.473767	-0.554863	10671	11313	-1.22495	-2.489546	-0.770372	2	7	-2.648982	4.494803	8	-0.019483	8.161108
15.2	-1.003273	-2.526377	-0.525936	11013	11622	-1.152032	-2.558319	-0.74257	2	7	-3.374318	4.271639	8	-0.235497	8.241394
15.4	-0.919693	-2.574893	-0.473343	11358	11907	-1.077381	-2.625213	-0.719198	2	7	-2.80827	4.42355	8	0.520599	8.149363
15.6	-0.828353	-2.621675	-0.477725	11690	12244	-1.001308	-2.690487	-0.699419	2	7	-2.817416	4.511131	8	-0.237883	7.785577
15.8	-0.741987	-2.666389	-0.426885	12036	12532	-0.924053	-2.754362	-0.682576	2	7	-2.56616	5.181311	8	-0.13961	7.941678
16	-0.650808	-2.707862	-0.401465	12377	12844	-0.84581	-2.817024	-0.668131	2	7	-3.432521	4.724825	8	-0.002255	7.597642
16.2	-0.557615	-2.747425	-0.378674	12720	13161	-0.766731	-2.878629	-0.655655	2	7	-3.191347	4.996171	8	0.212722	7.686896
16.4	-0.468676	-2.782812	-0.336599	13056	13449	-0.686939	-2.939309	-0.644785	2	7	-2.930273	4.959977	8	-0.377959	7.526923
16.6	-0.380498	-2.813666	-0.297154	13383	13731	-0.606531	-2.999173	-0.635231	2	7	-3.518241	5.224819	8	-0.242742	7.243644
16.8	-0.282666	-2.843624	-0.299784	13715	14066	-0.525587	-3.05831	-0.626749	2	7	-3.114649	4.982498	8	-0.171424	7.102215
17	-0.184913	-2.87384	-0.297154	14050	14398	-0.444169	-3.116794	-0.619118	2	7	-2.772508	5.343326	8	-0.214849	7.281852
17.4	0.008942	-2.934407	-0.314685	14702	15070	-0.280097	-3.23202	-0.605685	2	7	-3.327437	5.78137	8	0.01418	7.401708
17.6	0.104775	-2.965601	-0.305043	15036	15393	-0.197508	-3.28884	-0.599553	2	7	-2.91011	5.611558	8	-0.198749	6.762395
17.8	0.195637	-2.994211	-0.270857	15366	15684	-0.114577	-3.345158	-0.593583	2	7	-3.019571	5.963032	8	-0.168842	6.917647
18	0.29245	-3.021094	-0.271734	15693	16012	-0.031311	-3.40098	-0.587573	2	7	-3.094739	6.1674	8	-0.006653	6.593129
18.2	0.382294	-3.046126	-0.278746	15993	16320	0.045712	-3.451934	-0.581132	2	7	-3.002389	6.283774	8	-0.13053	6.495982
18.4	0.472107	-3.071831	-0.260338	16308	16614	0.126661	-3.504787	-0.575917	2	7	-2.870178	5.831987	8	0.000122	6.514516
18.6	0.568604	-3.097536	-0.24719	16641	16932	0.210856	-3.5592	-0.571645	2	7	-3.253095	6.203789	8	-0.452781	6.042463
18.8	0.66796	-3.122608	-0.250696	16973	17268	0.295263	-3.613284	-0.568062	2	7	-2.939111	6.353425	8	-0.194034	6.397824
19	0.769307	-3.148562	-0.280499	17297	17626	0.379849	-3.667088	-0.565043	2	7	-3.146408	6.138807	8	-0.374146	6.276624
19.2	0.864087	-3.175867	-0.258585	17631	17935	0.464584	-3.720657	-0.562487	2	7	-2.856551	6.322939	8	-0.208842	5.949719
19.4	0.961964	-3.201757	-0.265598	17957	18269	0.549446	-3.774026	-0.560308	2	7	-2.932434	6.691468	8	-0.112151	6.232861
19.6	1.05862	-3.22805	-0.271734	18280	18599	0.634416	-3.827222	-0.558439	2	7	-3.350234	6.524961	8	-0.208601	5.877669
20	1.250824	-3.280614	-0.246313	18944	19234	0.804621	-3.933191	-0.555411	2	7	-2.924949	6.782523	8	-0.380662	5.398621
20.4	1.443536	-3.326142	-0.220893	19604	19865	0.975109	-4.038705	-0.553056	2	7	-3.381176	6.927933	8	-0.106991	5.21565
20.6	1.542768	-3.348425	-0.220017	19936	20196	1.060439	-4.091322	-0.552054	2	7	-2.872196	7.112226	8	-0.533779	5.112132
20.8	1.638876	-3.369918	-0.202485	20267	20507	1.145821	-4.143857	-0.551135	2	7	-3.083176	6.917775	8	-0.17182	5.909554
21	1.735045	-3.389662	-0.190214	20594	20820	1.231248	-4.196316	-0.550282	2	7	-3.033347	7.495736	8	-0.372455	5.041883
21.2	1.835516	-3.409006	-0.208621	20917	21164	1.316719	-4.248705	-0.549476	2	7	-3.011444	7.351026	8	-0.397563	4.771316
21.4	1.929311	-3.428863	-0.184954	21243	21463	1.402232	-4.301026	-0.548705	2	7	-3.16431	7.01972	8	-0.290695	5.528471
21.6	2.026113	-3.446974	-0.186707	21563	21785	1.487784	-4.353282	-0.547954	2	7	-3.263027	7.959579	8	-0.144441	4.788437
21.8	2.123636	-3.465397	-0.19109	21884	22111	1.573375	-4.405474	-0.547211	2	7	-2.754433	7.554981	8	-0.573799	5.106915
22	2.222735	-3.484568	-0.189337	22214	22439	1.659005	-4.457602	-0.546466	2	7	-2.868427	7.82098	8	-0.302319	5.146365
22.2	2.313882	-3.502034	-0.155151	22536	22722	1.744674	-4.509666	-0.545705	2	7	-3.065485	7.737679	8	-0.601834	4.803547
22.4	2.410272	-3.51711	-0.132361	22867	23027	1.830384	-4.561664	-0.544918	2	7	-2.570063	8.024207	8	-0.250054	4.284947
22.6	2.51291	-3.530776	-0.13499	23203	23366	1.916135	-4.613593	-0.54409	2	7	-3.166767	8.192214	8	-0.247964	4.751528
22.8	2.61384	-3.544483	-0.13499	23535	23698	2.001931	-4.665448	-0.543205	2	7	-2.905019	8.27884	8	-0.145887	4.580984
23	2.710361	-3.557593	-0.128854	23856	24012	2.087775	-4.717223	-0.542244	2	7	-2.984582	8.141331	8	-0.504258	4.306624
23.2	2.804679	-3.569814	-0.104311	24180	24308	2.17367	-4.768912	-0.54118	2	7	-3.149457	8.530375	8	-0.245223	4.340481
23.4	2.904609	-3.580275	-0.099928	24510	24633	2.259625	-4.820504	-0.539976	2	7	-2.95507	8.398905	8	-0.538661	3.928684
23.6	3.003057	-3.590146	-0.099051	24833	24955	2.345646	-4.871984	-0.538577	2	7	-3.284266	8.408831	8	-0.413255	4.264372
23.8	3.100751	-3.599854	-0.118336	25142	25286	2.428024	-4.921108	-0.536832	2	7	-3.294499	8.531879	8	-0.680555	4.005402
24	3.200524	-3.611717	-0.110447	25474	25609	2.513695	-4.971633	-0.5256	2	7	-2.99507	9.065567	8	-0.700837	4.095231
24.2	3.297338	-3.622453	-0.056976	25822	25896	2.600972	-5.02093	-0.502654	2	7	-3.204181	8.882938	8	-0.547082	3.646948
24.4	3.399948	-3.628306	-0.049964	26161	26227	2.689292	-5.068339	-0.483021	2	7	3.499252	9.290609	8	-0.474716	3.740992
24.6	3.502137	-3.633416	-0.031556	26505	26550	2.778447	-5.114161	-0.466798	2	7	3.343875	9.490551	8	-0.563524	3.786369
24.8	3.608389	-3.63677	-0.049964	26841	26907	2.868271	-5.158661	-0.453373	2	7	3.176423	9.486357	8	-0.56414	2.969666
25.2	3.814888	-3.647552	-0.063989	27507	27589	3.049437	-5.24453	-0.432925	2	7	3.095779	9.287568	8	-0.468175	3.222303
25.4	3.914239	-3.653918	-0.075384	27825	27920	3.140599	-5.286227	-0.425138	2	7	3.156246	9.604697	8	-0.49126	2.969218
25.6	4.014124	-3.661462	-0.063989	28158	28240	3.232058	-5.327271	-0.41859	2	7	3.067048	9.987535	8	-0.433782	2.878475
25.8	4.111791	-3.66772	-0.048211	28486	28550	3.323763	-5.367763	-0.413062	2	7	2.865713	9.820523	8	-0.312042	2.938715
26	4.213223	-3.672614	-0.069248	28805	28893	3.415674	-5.407786	-0.408362	2	7	2.944651	9.751647	8	-0.61633	3.266851
26.4	4.409719	-3.683352	-0.040322	29463	29518	3.599992	-5.486687	-0.400887	1	8	-0.711073	3.022887			
26.6	4.513792	-3.68755	-0.062236	29790	29870	3.692351	-5.525668	-0.39789	1	8	-1.178264	2.788336			
27	4.712643	-3.702352	-0.060483	30441	30519	3.877382	-5.602884	-0.392957	1	8	-0.936372	2.879875			
27.2	4.808341	-3.708148	-0.031556	30770	30815	3.970029	-5.641175	-0.390892	1	8	-0.874283	2.56045			
